"Tarih","Şimdi","Açılış","Yüksek","Düşük","Fark %"
"07.01.2022","15,6778","15,5688","15,6997","15,4720","0,46%"
"06.01.2022","15,6054","15,4698","15,7670","15,0757","1,06%"
"05.01.2022","15,4410","15,1341","15,5848","14,8706","2,62%"
"04.01.2022","15,0461","14,8554","15,4561","14,5403","1,46%"
"03.01.2022","14,8298","15,1401","15,9354","14,3707","-2,03%"
"31.12.2021","15,1377","14,8900","15,5439","14,5925","1,65%"
"30.12.2021","14,8927","14,3441","15,3146","14,0142","3,86%"
"29.12.2021","14,3392","13,3525","14,4887","13,3074","7,47%"
"28.12.2021","13,3421","13,2324","13,6247","13,0281","0,86%"
"27.12.2021","13,2289","12,1694","13,4317","12,0701","9,78%"
"24.12.2021","12,0503","12,9208","13,9466","11,7260","-6,73%"
"23.12.2021","12,9197","13,6190","14,0236","11,5042","-4,79%"
"22.12.2021","13,5690","14,0255","14,4692","13,5071","-3,27%"
"21.12.2021","14,0283","15,2318","16,0333","13,0950","-7,87%"
"20.12.2021","15,2269","18,5306","20,7423","15,2288","-17,45%"
"17.12.2021","18,4455","17,7549","19,4449","17,6970","3,93%"
"16.12.2021","17,7480","16,6948","17,8776","16,6778","6,35%"
"15.12.2021","16,6877","16,2024","16,7663","16,1724","3,05%"
"14.12.2021","16,1939","15,5878","16,3404","15,5555","4,04%"
"13.12.2021","15,5652","15,6939","16,5136","15,3022","-0,83%"
"10.12.2021","15,6951","15,5677","15,7800","15,4579","0,85%"
"09.12.2021","15,5623","15,5126","15,6803","15,4240","0,36%"
"08.12.2021","15,5068","15,2044","15,6543","15,1714","2,01%"
"07.12.2021","15,2008","15,5754","15,6440","15,0847","-2,30%"
"06.12.2021","15,5582","15,5128","15,7268","15,3767","0,38%"
"03.12.2021","15,4988","15,4660","15,8024","15,0527","0,75%"
"02.12.2021","15,3830","15,0171","15,6790","14,9567","2,46%"
"01.12.2021","15,0130","15,2830","15,7169","14,0392","-1,70%"
"30.11.2021","15,2732","14,4757","15,5969","14,3518","5,68%"
"29.11.2021","14,4527","14,0372","14,5779","13,9056","2,80%"
"26.11.2021","14,0585","13,4389","14,3474","13,3431","5,51%"
"25.11.2021","13,3239","13,5380","13,7534","13,2221","-1,53%"
"24.11.2021","13,5309","14,4217","14,8385","12,9392","-6,14%"
"23.11.2021","14,4165","12,7895","15,2085","12,7327","12,78%"
"22.11.2021","12,7832","12,6877","12,9433","12,3312","0,78%"
"19.11.2021","12,6844","12,5838","12,8348","12,2725","1,49%"
"18.11.2021","12,4985","12,0306","12,8307","11,8232","4,07%"
"17.11.2021","12,0098","11,7093","12,0942","11,6573","2,62%"
"16.11.2021","11,7033","11,4379","11,8251","11,4146","2,44%"
"15.11.2021","11,4244","11,4274","11,5367","11,3853","0,03%"
"12.11.2021","11,4215","11,3424","11,4809","11,2888","0,86%"
"11.11.2021","11,3239","11,3043","11,4487","11,2826","0,28%"
"10.11.2021","11,2919","11,2836","11,4205","11,2508","0,17%"
"09.11.2021","11,2725","11,2238","11,3027","11,1834","0,51%"
"08.11.2021","11,2152","11,2153","11,2941","11,1531","0,23%"
"05.11.2021","11,1891","11,2113","11,2723","11,1337","-0,02%"
"04.11.2021","11,1910","11,1991","11,2920","11,1574","0,10%"
"03.11.2021","11,1793","11,1198","11,3289","11,0921","0,65%"
"02.11.2021","11,1074","11,0731","11,1453","10,9663","0,41%"
"01.11.2021","11,0615","11,1086","11,1212","10,9725","-0,36%"
"29.10.2021","11,1020","11,1461","11,2217","11,0674","-0,21%"
"28.10.2021","11,1256","11,0211","11,1858","10,9833","1,15%"
"27.10.2021","10,9993","11,0674","11,0881","10,9649","-0,48%"
"26.10.2021","11,0522","11,1292","11,1770","10,9170","-0,61%"
"25.10.2021","11,1198","11,1888","11,4775","11,0620","-0,30%"
"22.10.2021","11,1528","11,0644","11,2515","11,0152","0,97%"
